Doctor ID,Doctor Name,Education,Speciality,Experience,Chamber,Location,Concentration,MBBS,FCPS,BCS,MD,MS,MCPS,CCD,PGT,BDS,MPH,location
1,Asst. Prof. Dr. Nurun Nahar Mohua,"['MBBS', 'D-CARD', 'PHD']",Cardiologist,16,Aalok Healthcare Ltd. | Mirpur 10, Dhaka-1216,"['Bacterial Endocarditis', 'Cardiac Ablation', 'Cardiac Anesthesia', 'Cardiac Catheterization', 'Cardiac Disease', 'Cardiac Invasive Procedures', 'Cardiac Medicine', 'Cardiac Mri', 'Cardiac Rehabilitation', 'Cardiac Transplant', 'Cardiac Tumor Resection', 'Congenital Heart Disease', 'Congenital Heart Surgery', 'Healthy Heart Diet']",1,0,0,0,0,0,0,0,0,0,DHAKA-DHAKA-1216
2,Dr. Rezaul Alam Khan,"['MBBS', 'CCD', 'MD']",Medicine Specialist,23,Aalok Healthcare Ltd. | Mirpur 10, Dhaka-1216,"['Adolescent Medicine', 'Aesthetic Medicine', 'Cardiac Medicine', 'Critical Care Medicine', 'Family Medicine', 'Fetal Medicine', 'Fetomaternal Medicine', 'General Medicine', 'Geriatric Medicine', 'Immediate Dentures', 'Kidney Medicine', 'Lung & Mediastinal Tumors', 'Medical Advisor', 'Neonatal Medicine']",1,0,0,1,0,0,1,0,0,0,DHAKA-DHAKA-1216
3,Dr. Ummy Salma Munni,"['MS', 'MPH', 'PHD', 'INFS']",Nutritionist,14,BRB Hospitals Limited, Dhaka-1205,"['Diabetes Management', 'Diet Management', 'Food Allergies', 'Food Sensitivity Management', 'Gastroparesis', 'Geriatric Nutrition', 'Healthy Heart Diet', 'Mindful Eating', 'Naonatal Nutrition', 'Nutritional Assessment', 'Nutritional Support For Pregnancy', 'Pcod/ Pcos Diet Counselling', 'Sports Nutrition', 'Weight Loss Diet Counseling', 'Nutritional Supplements']",0,0,0,0,1,0,0,0,0,1,DHAKA-1205
4,Dr. Mostafa Kamal Rouf,"['MBBS', 'BCS', 'FCPS', 'PGT']",Medicine Specialist,23,Aalok Healthcare Ltd. | Mirpur 10, Dhaka-1216,"['Aesthetic Medicine', ""Alzheimer'S Disease"", 'Arthritis Problem', 'General Medicine', 'Geriatric Medicine', 'Heart Diseases', 'Infectious Diseases', 'Influenza (Common Cold)', 'Neonatal Medicine', ""Parkinson'S Disease"", 'Pediatric Medicine', 'Trauma And Wound Care', 'Trouble Sleeping', 'Vaccination / Immunization', 'Adolescent Medicine']",1,1,1,0,0,0,0,1,0,0,DHAKA-DHAKA-1216
5,Asst. Prof. Dr. Akhlak Ahmed,"['MBBS', 'BCS', 'MACP']",Medicine Specialist,19,Aalok Healthcare Ltd. | Mirpur 10, Dhaka-1216,"['Adolescent Medicine', 'Aesthetic Medicine', 'Cardiac Medicine', 'Critical Care Medicine', 'Family Medicine', 'Fetal Medicine', 'Fetomaternal Medicine', 'General Medicine', 'Geriatric Medicine', 'Immediate Dentures', 'Kidney Medicine', 'Maternal Fetal Medicine']",1,0,1,0,0,0,0,0,0,0,DHAKA-DHAKA-1216
6,Prof. Dr. AKM Fazlul Haque,"['MBBS', 'MPH', 'MD', 'FACP']",Internal Medicine,27,Aalok Healthcare Ltd. | Mirpur 10, Dhaka-1216,"['Abnormal Liver Biochemical And Function Tests', 'Abnormal Uterine Bleeding', 'Acquired Von Willebrand Syndrome', 'Acute Bacterial Meningitis', 'Acute Bronchitis', 'Anxiety Disorders Treatment', 'Bacterial Brain Abscess', 'Bleeding Peptic Ulcers', 'Cardiogenic Shock', 'Colonic Ischemia', 'Lactic Acidosis', 'Lyme Disease', ""Parkinson'S Disease"", 'Thrombotic Thrombocytopenic Purpura (Ttp)', 'Cellulitis & Skin Abscesses']",1,0,0,1,0,0,0,0,0,1,DHAKA-DHAKA-1216
7,Dr. Kazi Fouzia Afrin,"['MBBS', 'BCS', 'MD']",Respiratory Specialist,24,Islami Bank Hospital | Motijheel, Dhaka-1217,"['Acute Bronchitis', 'Asbestosis', 'Chronic Bronchitis', 'Chronic Cough', 'Cystic Fibrosis', 'Emphysema', 'Goodpasture Syndrome', 'Hypersensitivity Pneumonitis', 'Lung Abscess', 'Pleural Effusion', 'Pneumonia', 'Pulmonary Edema', 'Pulmonary Hypertension', 'Tuberculosis', 'Primary Ciliary Dyskinesia (Pcd)']",1,0,1,1,0,0,0,0,0,0,DHAKA-1217
8,Asst. Prof. Dr. Md. Sirajul Haque,"['MBBS', 'MD']",Cardiologist,20,Islami Bank Hospital | Motijheel, Dhaka-1217,"['Cardiac Ablation', 'Cardiac Ablation', 'Cardiac Anesthesia', 'Cardiac Catheterization', 'Cardiac Disease', 'Cardiac Medicine', 'Cardiac Mri', 'Cardiac Pacing', 'Cardiac Rehabilitation', 'Cardiac Transplant', 'Cardiac Tumor Resection', 'Cardic Tmt', ' Ecg', ' Echo', 'Cardiogenic Shock']",1,0,0,1,0,0,0,0,0,0,DHAKA-1217
9,Asst. Prof. Dr. Rajib Dhar,"['MBBS', 'MD']",Cardiologist,15,Apollo Clinic Dhanmondi & JMI Specialized Hospital, Dhaka-1209,"['Cardiac Ablation', 'Cardiac Ablation', 'Cardiac Anesthesia', 'Cardiac Catheterization', 'Cardiac Disease', 'Cardiac Invasive Procedures', 'Cardiac Medicine', 'Cardiac Mri', 'Cardiac Pacing', 'Cardiac Rehabilitation', 'Cardiac Transplant', 'Cardic Tmt', ' Ecg', ' Echo', 'Cardio Thoracic Surgery', 'Cardiac Tumor Resection']",1,0,0,1,0,0,0,0,0,0,DHAKA-1209
10,Prof. Dr. Munira Ferdousi,"['MBBS', 'MPH', 'MS']",Gynecologists,25,Uttara Crescent Hospital & Diagnostic Center, Dhaka-1230,"['All Gynae Surgery', 'Breast Examination', 'Gynaec Laparoscopy', 'Gynecologic Oncology', 'Gynecomastia Treatment / Surgery', 'Maternal Fetal Medicine', 'Obstetrics Problems', ""Women'S Health"", 'Vaginal Hysterectomy']",1,0,0,0,1,0,0,0,0,1,DHAKA-1230
