Doctor Name,Education,Speciality,Experience,Chamber,Location,Concentration
Prof. Dr. Feroza Wazed,"MBBS,DGO,FCPS (Gyn & Obs)",Gynecologist & Obstetrician,28,Samorita Hospital Limited, Dhaka-1215,"Embolization,Female Sexual Dysfunction,Gynae Problems,Hormone Dirtubances,Hysteroscopy,Ovarian Cystectomy,Ovarian Cysts,Pelvic Inflammatory Disease (PID),Polycystic Ovary Syndrome (PCOS),Premenstrual Syndrome (PMS),Sexually Transmitted Disease (STD) Treatment,Uterine Fibroids,Vaginal Infection Treatment,Recurrent Miscarriages"
Prof. Dr. Nasima Arjumand Banu,"MBBS,FCPS (OBGYN)",Gynecologist & Obstetrician,17,Samorita Hospital Limited, Dhaka-1215,"Embolization,Female Sexual Dysfunction,Gynae Problems,Hormone Dirtubances,Hysteroscopy,Ovarian Cystectomy,Ovarian Cysts,Pelvic Inflammatory Disease (PID),Polycystic Ovary Syndrome (PCOS),Pregnancy Care & Check-up,Premenstrual Syndrome (PMS),Sexually Transmitted Disease (STD) Treatment,Uterine Fibroids,Vaginal Infection Treatment,Recurrent Miscarriages"
Dr. Mohammad Abu Sayeed,"MBBS,MS (NEUROSURGERY)",Neurosurgeon,23,Samorita Hospital Limited, Dhaka-1215,"Abdominal aortic aneurysms,Anterior Cervical Discectomy and Fusion (ACDF),Blood Clots,Brain Tumors,Chiari Decompression,Deep Brain Stimulation (DBS),Endovascular Coiling,Intracranial Pressure Monitoring,Peripheral Nerve Surgery,Pituitary Tumors,Spinal Fusion,Spine Problems,Vascular Problems,Shunt Placement"
Prof. Dr. A. H. Hamid Ahmed,"MBBS,MD (Nephrology)",Nephrologist,27,Samorita Hospital Limited, Dhaka-1215,"Acid-Base Fluctuations,Chronic Kidney Disease (CKD),Chronic Renal Failure,Diabetic Kidney Disorder,Dialysis,Electrolyte Disorders,Glomerular Complications,Kidney Disease Treatment,Kidney Infections,Kidney Stone Treatment,Nephrotic Syndrome Treatment,Polycystic kidneys diseases,Transplant Nephrology,Ureteroscopy (URS),Renal Insufficiency"
Prof. Dr. M. Abdus Samad,"MBBS,D-Ortho,MS-Ortho",Orthopedic Surgeon,28,Samorita Hospital Limited, Dhaka-1215,"Arthritis,Arthroscopy,Fracture Fixation,Joint Resurfacing,Meniscus Tear,Osteoporosis Treatment,Rotator Cuff Repair,Shoulder Bursitis,Shoulder Fractures,Spinal Decompression,Spinal Disc Replacement,Spinal Fusion,Tendon Repair,Total Joint Replacement,Ligament Reconstruction"
Prof. Dr. Mahabubur Rahman,"MBBS,FCPS (Haematology),FACP (USA),FRCP (UK)",Hematologist,26,Samorita Hospital Limited, Dhaka-1215,"Anemia,Blood Clots,Blood Transfusion,Bone marrow failure syndromes,Coagulation Disorders,Hemochromatosis (Excess Iron),Hemoglobinopathies (e.g., HbS, HbC),Hemolytic anemia,Hemophilia,Iron-deficiency anemia,Leukemia,Lymphoma,Plasma cell disorders,Sickle Cell Anemia,Thalassemia,Eosinophilic Disorders"
Prof. Dr. Md. Mohsen Chowdhury,"MBBS,FCPS (Surgery)","Hepatobiliary Surgeon
Laparoscopic Surgeon",28,Samorita Hospital Limited, Dhaka-1215,"Alcoholic Liver Diseases,Bile duct reconstruction,Biliary bypass surgery,Congenital Anomalies,Distal pancreatectomy,Gallbladder Disease,Gallbladder Stone Removal,Hepatitis B Treatment,Hepatitis C Treatment,Liver resection,Liver shunt surgery,Liver Transplantation Consultation,Liver tumor ablation,Pancreatectomy,Viral Hepatitis,Radiofrequency Ablation (RFA)"
Prof. Dr. Md. Margub Hussain,"MBBS,FCPS,MHPED","General Surgeon
Laparoscopic Surgeon",25,Samorita Hospital Limited, Dhaka-1215,"Appendix Removal,Bariatric Surgery,Colonoscopy,Colorectal Surgery,Endosurgery,Fistula Surgery,Gallbladder Removal,Hipato Biliary Surgery,Kidney Biopsies,Laparoscopic Hernial Repair,Laparoscopic Surgery,Liver biopsy,Liver resection,Lymph Node Biopsy,Minor Surgery,Robotic Surgery,Skin Lesion Excision & Biopsy,Tubal ligation and reversal,Ectopic pregnancy removal"
Prof. Dr. Saleha Begum Chowdhury,"MBBS,FCPS (OBGYN)",Gynecologist & Obstetrician,29,Samorita Hospital Limited, Dhaka-1215,"Embolization,Female Sexual Dysfunction,Gynae Problems,Hormone Dirtubances,Hysteroscopy,Ovarian Cystectomy,Ovarian Cysts,Pelvic Inflammatory Disease (PID),Polycystic Ovary Syndrome (PCOS),Pregnancy Care & Check-up,Premenstrual Syndrome (PMS),Sexually Transmitted Disease (STD) Treatment,Uterine Fibroids,Vaginal Infection Treatment,Recurrent Miscarriages"
Prof. Brig. Gen. (Retd.) Dr. Abdur Rahman Siddiqui,"MBBS (DMC),MD (Medicine),FCPS (Medicine),FRCP (Glasg)","Neurologist
Medicine Specialist",28,Samorita Hospital Limited, Dhaka-1215,"Autism,Brain Mapping,Cerebrovascular Disease,Confusion,Dementia Treatment,Epilepsy,Headache Disorders,Laminectomy,Meningitis,Movement condition or imbalance,Numbness or tingling,Parkinson's disease,Seizure disorders,Vertigo/Dizziness,Cerebral Stroke"
Prof. Dr. R.A. Chowdhury Pervez,"MBBS (DMC),FCPS (Surgery)","General Surgeon
Laparoscopic Surgeon",27,Samorita Hospital Limited, Dhaka-1215,"Appendix Removal,Bariatric Surgery,Colonoscopy,Colorectal Surgery,Endosurgery,Fistula Surgery,Gallbladder Removal,Hipato Biliary Surgery,Kidney Biopsies,Laparoscopic Hernial Repair,Laparoscopic Surgery,Liver Biopsy,Liver resection,Lymph Node Biopsy,Minor Surgery,Robotic Surgery,Skin Lesion Excision & Biopsy,Tubal ligation and reversal"
Prof. Dr. M N Alam,"MBBS,MPH (DU),PGT (ICDDRB),CCD (BIRDEM)",Medicine Specialist,18,Samorita Hospital Limited, Dhaka-1215,"Aesthetic Medicine,Alzheimer's Disease,Arthritis Problem,General Medicine,Geriatric Medicine,Heart Diseases,Infectious Diseases,Influenza (Common Cold),Neonatal Medicine,Parkinson's disease,Pediatric Medicine,Trauma and wound care,Trouble Sleeping,Vaccination / Immunization,Adolescent Medicine"
Dr. Masud Rana Bhuiyan,"MBBS,BCS,FCPS (Surgery)",Surgeon,16,Alliance Hospital Ltd., Dhaka-1207,"Alcoholic Liver Diseases,Bile duct reconstruction,Biliary bypass surgery,Congenital Anomalies,Distal pancreatectomy,Gallbladder Disease,Gallbladder Stone Removal,Hepatitis B Treatment,Hepatitis C Treatment,Liver resection,Liver shunt surgery,Liver Transplantation Consultation,Liver tumor ablation,Pancreatectomy,Viral Hepatitis,Radiofrequency Ablation (RFA)"
