Doctor Name,Education,Speciality,Experience,Chamber,Location,Concentration
Prof. Dr. Muhammad Hafizur Rahman,"MBBS (DMC),DEM (BIRDEM),MD (Endocrinology),MACE (USA)",Endocrinologist,30,Popular Diagnostic Centre Ltd. | Uttara (Unit 1), Dhaka-1230,"Adrenal Gland Disorders,Congenital Disorders Evaluation / Treatment,Diabetes,Diabetes Induced Erectile Dysfunction,Hormone testing,Hyper / Hypo - Thyroid Treatment,Insuiln Pump,Insulin Hormone,Parathyroid diseases,PCOD/PCOS Treatment,Type 1 Diabetes Treatment,Infertility"
Asst. Prof. Dr. S.M Dastegir Khan,"MBBS,BCS (Health),MD (Neurology)",Neurologist,20,Popular Diagnostic Centre Ltd. | Shantinagar (Unit 1), Dhaka-1217,"Brain infection,Deep Brain Stimulation For Parkinson's Disease,Movement Disorder,Parkinson's Disease Treatment,Parkinsonism and movement disorders,Stroke Treatment,Vascular Brain Diseases,spine pain management,General Health,General Medicine"
Prof. Dr. Aparna Das,"MBBS,FCPS (Medicine),Md. (Internal Medicine),DEM (Birdem)",Medicine Specialist,N/A,"House # 11, Shantinagar , Motijheel, 4, Paltan, Dhaka-1217, Bangladesh",N/A,"Adolescent Medicine,Aesthetic Medicine,Cardiac Medicine,Critical Care Medicine,Family Medicine,Fetal Medicine,Fetomaternal Medicine,General Medicine,Geriatric Medicine,Kidney Medicine,Lung & Mediastinal Tumors,Maternal Fetal Medicine"
Prof. Dr. A. K. M. Shahadat Hossain,"MBBS,FCPS (Surgery),MS (Urology)",Urologist,25,Popular Diagnostic Centre Ltd. | Shantinagar (Unit 1), Dhaka-1217,"Kidney Disease Treatment,Urinary Tract / Bladder Stones Treatment,Urinary Tract Infection (UTI),Ureteroscopy,Blood in Urine,Blood in Urine (Hematuria) Treatment,Body Contouring Surgery,Earlobe suturing,Genito Urinary Cancer,Genitourinary Cancers,Genitourinary Malignancies,Urinary Bladder,Urinary Fistula,Urinary Diversion"
Asst. Prof. Dr. Nazmun Ara,"MBBS,BCS (Health),FCPS (OBGYN)","Gynecologist & Obstetrician
Surgeon",20,Popular Diagnostic Centre Ltd. | Shantinagar (Unit 1), Dhaka-1217,"Complicated Pregnancy Treatment,Diseases in Pregnancy,Female Sexual Problems,Infertility Evaluation / Treatment,Normal Vaginal Delivery (NVD),Sexually Transmitted Disease (STD) Treatment,Urinary Tract Infection (UTI),Vaginal Infection Treatment,Women's Health,Early Pregnancy Scan"
Prof. Dr. Shopna Rani Dhar,"MBBS,DGO,FCPS (OBGYN)","Gynecologist & Obstetrician
Surgeon",20,Popular Diagnostic Centre Ltd. | Shantinagar (Unit 1), Dhaka-1217,"Complicated Pregnancy Treatment,General Health,Hormonal disturbances in women,Infertility Evaluation / Treatment,Normal Vaginal Delivery (NVD),Nutrition for Pregnant Women,Urinary Tract Infection (UTI),Women's Health"
Dr. Kazi Md. Hedayet Ullah,"MBBS,BCS (Health),D.Ortho",Orthopedist,15,Popular Diagnostic Centre Ltd. | Shantinagar (Unit 1), Dhaka-1217,"Back & Neck pain,Back Pain Treatment,Congenital and acquired deformity correction,Epidural Transformational Injection,Facetal Injection,General Health,Head and Neck Pain,Spinal Cord Injury Treatment,Spinal Disorders,Spinal Therapy,Spine Injury,Neck Pain Treatment,Dentofacial Orthopedics,Functional Orthopedics,Jaw Orthopedics"
Assoc. Prof. Dr. Md. Ibrahim Khalil,"MBBS,FCPS (Medicine),MD (NEUROLOGY)",Neurologist,20,Popular Diagnostic Centre Ltd. | Shantinagar (Unit 1), Dhaka-1217,"Anxiety Neurosis,Brain Aneurysm Treatment,Brain infection,Gallbladder Removal,Clinical Neurologist,General Health,General Medicine,Neuroimmunology,Neurological Problems,Neurology,Parkinson's Disease Treatment,Traumatic Brain Injury (TBI) Treatment,Vascular Brain Diseases,Neurology Treatment,Brain Aneursym Surgery,Memory Disorders,Memory Improvement"
Dr. Kamal Uddin Ahmed,"MBBS,MS (ORTHO),FICS (USA)","Orthopedist
Surgeon",25,Popular Diagnostic Centre Ltd. | Shantinagar (Unit 1), Dhaka-1217,"Bone Infection,Bone Injury,Bone Trauma,Functional Orthopedics,General Health,Joint and Muscle Problems,Hormone Dirtubances,Tailbone Pain Treatment,Trauma and Joint Replacement,Orthopedic Surgery"
Prof. Dr. Mohammad Tanvir Islam,"MBBS,FCPS (Medicine)",Medicine Specialist,20,Popular Diagnostic Centre Ltd. | Shantinagar (Unit 1), Dhaka-1217,"Acute Diarrhea Treatment,Adolescent Medicine,Aesthetic Medicine,Diabetes,Diabetes in Children,Fetal Medicine,General Health,General Medicine,Gestational diabetes,Insulin Hormone,Medical Advisor,Medical Emergencies"
